Temperature(C),Humidity,LPG,Smoke,Methane,Butane,CO,NH3,CO2,Alcohol,Acetone,Toluene,Benzene,Dangerous Degree
26,45,0.0297,0.1517234,0.0416,0.062,0.0746,1.9642,1.9642,1.61138,0.1195,0.311,7.08,1
26,45,0.031,0.1606483,0.0426,0.065,0.0774,2.0642,2.0642,1.55138,0.125,0.328,7.15,1
26,45,0.0323,0.1695732,0.0436,0.068,0.0802,2.1642,2.1642,1.49138,0.1305,0.345,7.22,1
26,46,0.0069,0.1784981,0.0446,0.071,0.083,2.2642,2.2642,1.43138,0.136,0.362,7.29,1
26,46,0.0067,1022.231,0.00236,0.074,0.0858,2.3642,2.3642,1.37138,0.1415,0.379,7.36,3
26,46,0.007,1020.99,0.00316,0.077,0.0886,2.4642,2.4642,1.31138,0.147,0.396,7.43,3
26,46,0.0073,1019.749,0.00396,0.08,0.0914,2.5642,2.5642,1.25138,0.1525,0.413,7.5,3
26,46,0.0076,1018.508,0.00476,0.083,0.0942,2.6642,2.6642,1.19138,0.158,0.43,7.57,3
26,46,0.0079,1017.267,0.00556,0.0111,0.097,2.7642,2.7642,1.13138,0.1635,0.447,7.64,3
26,46,0.0082,1016.026,0.00636,0.0112,0.0998,2.8642,2.8642,1.07138,0.169,0.464,7.71,3
26,46,0.0085,1014.785,0.00716,0.0113,0.1026,2.9642,2.9642,1.01138,0.1745,0.481,7.78,3
27,46,0.0088,1013.544,0.00796,0.0114,0.1054,3.0642,3.0642,0.95138,0.18,0.498,7.85,3
27,46,0.0091,1012.303,0.00876,0.0115,0.1082,3.1642,3.1642,0.89138,0.1855,0.515,7.92,3
27,46,0.0466,1011.062,0.00956,0.0116,0.111,3.2642,3.2642,0.83138,0.191,0.532,7.99,3
27,46,0.0479,1009.821,0.01036,0.0117,0.1138,3.3642,3.3642,0.77138,0.1965,0.549,8.06,3
27,46,0.0492,1008.58,0.01116,0.0118,0.1166,3.4642,3.4642,0.71138,0.202,0.566,8.13,3
27,46,0.0505,1007.339,0.01196,0.0119,0.1194,3.5642,3.5642,0.65138,0.2075,0.583,8.2,3
27,46,0.0518,1006.098,0.01276,0.012,0.1222,3.6642,3.6642,0.59138,0.213,0.6,8.27,3
27,46,0.0531,1004.857,0.01356,0.0121,0.0000056,3.7642,3.7642,0.53138,0.2185,0.617,8.34,3
27,46,0.0544,1003.616,0.01436,0.0122,0.0000078,3.8642,3.8642,0.47138,0.224,0.634,8.41,3
27,46,0.0557,1002.375,0.01516,0.0123,0.00001,3.9642,3.9642,0.41138,0.2295,0.651,8.48,3
27,46,0.057,1001.134,0.01596,0.0124,0.0000122,4.0642,4.0642,0.35138,0.235,0.668,8.55,3
27,46,0.0583,999.893,0.01676,0.0125,0.0000144,4.1642,4.1642,0.29138,0.2405,0.685,8.62,3
27,46,0.0596,998.652,0.01756,0.0126,0.0000166,4.2642,4.2642,0.23138,0.246,0.702,8.69,3
27,46,0.0609,997.411,0.01836,0.0127,0.0000188,4.3642,4.3642,0.17138,0.2515,0.719,8.76,3
27,46,0.0622,996.17,0.01916,0.0128,0.000021,4.4642,4.4642,0.11138,0.257,0.736,8.83,3
28,46,0.0635,994.929,0.01996,0.0129,0.0000232,4.5642,4.5642,0.11098,0.2625,0.753,8.9,3
28,46,0.0648,993.688,0.02076,0.013,0.0000254,4.6642,4.6642,0.11058,0.268,0.77,8.97,3
28,46,0.0661,992.447,0.02156,0.0131,0.0000276,4.7642,4.7642,0.11018,0.2735,0.787,9.04,3
28,46,0.0674,991.206,0.02236,0.0132,0.0000298,4.8642,4.8642,0.10978,0.279,0.804,9.11,3
28,47,0.0687,989.965,0.02316,0.0133,0.000032,4.9642,4.9642,0.10938,0.2845,0.821,9.18,3
28,47,0.07,988.724,0.02396,0.0134,0.0000342,5.0642,5.0642,0.10898,0.29,0.838,9.25,3
28,47,0.0713,987.483,0.02476,0.0135,0.0000364,5.1642,5.1642,0.10858,0.2955,0.855,9.32,3
28,47,0.0726,986.242,0.02556,0.0136,0.0000386,5.2642,5.2642,0.10818,0.301,0.872,9.39,3
28,47,0.0739,985.001,0.02636,0.0137,0.0000408,5.3642,5.3642,0.10778,0.3065,0.889,9.46,3
28,47,0.0752,983.76,0.02716,0.0152,0.000043,5.4642,5.4642,0.10738,0.312,0.906,9.53,3
28,47,0.0765,982.519,0.02796,0.0155,0.0000452,5.5642,5.5642,0.10698,0.3175,0.923,9.6,3
28,47,0.0778,981.278,0.02876,0.0158,0.0000474,5.6642,5.6642,0.10658,0.323,0.94,38.987,3
28,47,0.0791,980.037,0.02956,0.0161,0.0000496,5.7642,5.7642,0.10618,0.3285,0.957,43.978,3
28,47,0.0804,978.796,0.03036,0.0164,0.0000518,5.8642,5.8642,0.10578,0.334,0.974,48.969,3
28,47,0.0817,977.555,1097.881,0.0167,0.000054,5.9642,5.9642,0.10538,0.3395,0.991,53.96,3
28,47,0.083,976.314,987.78979,0.017,0.0000562,6.0642,6.0642,0.10498,0.345,1.008,58.951,3
28,47,0.0843,975.073,877.69858,0.0173,0.0000584,6.1642,6.1642,0.10458,0.3505,1.025,63.942,3
28,47,0.0856,973.832,767.60737,0.0176,0.0000606,6.2642,6.2642,0.10418,0.356,1.042,68.933,3
28,47,0.0869,972.591,657.51616,0.0179,0.0000628,6.3642,6.3642,0.10378,0.3615,1.059,73.924,3
28,48,0.0882,971.35,547.42495,0.0182,0.000065,6.4642,6.4642,0.10338,0.367,1.076,78.915,3
28,48,0.0895,0.0876,437.33374,0.0185,0.0000672,6.5642,6.5642,0.10298,0.3725,1.093,83.906,1
28,48,0.0908,0.0886,327.24253,0.0188,0.0000694,6.6642,6.6642,0.10258,0.378,1.11,88.897,1
28,48,0.0921,0.0896,217.15132,0.0191,0.0000716,6.7642,6.7642,0.10218,0.3835,1.127,93.888,1
29,48,0.0934,0.0906,107.06011,0.0194,0.0000738,6.8642,6.8642,0.10178,0.389,1.144,98.879,1
29,48,0.0947,0.0916,800.6778,0.0197,0.000076,6.9642,6.9642,0.10138,0.3945,1.161,103.87,2
29,48,0.096,0.0926,780.68,0.02,0.0000782,7.0642,7.0642,0.10098,0.4,1.178,108.861,2
29,48,0.0973,0.0936,760.6822,0.0203,0.0000804,7.1642,7.1642,0.10058,0.4055,1.195,113.852,2
29,48,0.0986,0.0946,740.6844,0.0206,0.0000826,7.2642,7.2642,0.10018,0.411,1.212,118.843,2
29,48,0.0999,0.0956,720.6866,0.0209,0.0000848,7.3642,7.3642,0.09978,0.4165,1.229,123.834,2
29,48,0.1012,0.0966,700.6888,0.0212,0.000087,7.4642,7.4642,0.09938,0.422,1.246,128.825,2
29,48,0.1025,0.0976,680.691,0.0215,0.0000892,7.5642,7.5642,0.09898,0.4275,1.263,133.816,2
29,48,0.1038,0.0986,660.6932,0.0218,0.0000914,7.6642,7.6642,0.09858,0.433,1.28,138.807,2
29,48,0.1051,0.0996,640.6954,0.0221,0.0000936,7.7642,7.7642,0.09818,0.4385,1.297,143.798,2
29,48,0.1064,0.1006,620.6976,0.0224,0.0000958,7.8642,7.8642,0.09778,0.444,1.314,148.789,2
29,48,0.1077,0.1016,600.6998,0.0227,0.000098,7.9642,7.9642,0.09738,0.4495,1.331,153.78,2
29,49,0.109,0.1026,580.702,0.023,0.0001002,8.0642,8.0642,0.09698,0.455,1.348,158.771,2
29,49,0.1103,0.1036,560.7042,0.0233,0.0001024,8.1642,8.1642,0.09658,0.4605,1.365,163.762,2
29,49,0.1116,0.1046,540.7064,0.0236,0.0001046,8.2642,8.2642,0.09618,0.466,1.382,168.753,2
29,49,0.1129,0.1056,520.7086,0.0239,0.007887,8.3642,8.3642,0.09578,0.4715,1.399,173.744,2
29,49,0.1142,0.1066,500.7108,0.0242,0.00877,8.4642,8.4642,0.09538,0.477,1.416,178.735,2
29,49,0.1155,0.1076,480.713,0.0245,0.009653,8.5642,8.5642,0.09498,0.4825,1.433,183.726,2
29,49,0.1168,0.1086,460.7152,0.0248,0.010536,8.6642,8.6642,0.09458,0.488,1.45,188.717,2
29,49,0.1181,0.1096,440.7174,0.0251,0.011419,8.7642,8.7642,0.09418,0.4935,1.467,193.708,2
29,49,0.1194,0.1106,420.7196,0.0254,0.012302,8.8642,8.8642,0.09378,0.499,1.484,198.699,2
29,49,0.1207,0.1116,400.7218,0.0257,0.013185,8.9642,8.9642,0.09338,0.5045,1.501,203.69,2
29,49,0.122,0.1126,0.000588,0.026,0.014068,9.0642,9.0642,0.09298,0.51,1.518,208.681,1
29,49,0.1233,0.1136,0.0009867,0.0263,0.014951,9.1642,9.1642,0.09258,0.5155,1.535,213.672,1
29,49,0.1246,0.1146,0.0013854,0.0266,0.015834,9.2642,9.2642,0.09218,0.521,1.552,218.663,1
29,49,0.1259,0.1156,0.0017841,0.0269,0.016717,9.3642,9.3642,0.09178,0.5265,1.569,223.654,1
29,49,0.1272,0.1166,0.0021828,0.0272,0.0176,9.4642,9.4642,0.09138,0.532,1.586,228.645,1
29,49,0.1285,0.1176,0.0025815,0.0275,0.018483,9.5642,9.5642,0.09098,0.5375,1.603,233.636,1
30,49,0.1298,0.1186,0.0029802,0.0278,0.019366,9.6642,9.6642,0.09058,0.543,1.62,238.627,1
30,49,0.1311,0.1196,0.0033789,0.0281,0.020249,9.7642,9.7642,0.09018,0.5485,1.637,243.618,1
30,49,0.1324,0.1206,0.0037776,0.0284,200000001,9.8642,9.8642,0.08978,0.554,1.654,248.609,3
30,49,0.1337,0.1216,0.0041763,0.0287,150000008,9.9642,9.9642,0.08938,0.5595,1.671,253.6,3
30,49,0.135,0.1226,0.004575,0.029,100000015,10.0642,10.0642,0.08898,0.565,1.688,258.591,3
30,49,0.1363,0.0289,0.0049737,0.0293,50000022.04,10.1642,10.1642,0.08858,0.5705,1.705,263.582,3
30,49,0.1376,0.0312,0.0053724,0.0296,29.06000003,10.2642,10.2642,0.08818,0.576,1.722,268.573,2
30,49,0.1389,0.0335,0.0057711,0.0299,1874098.987,10.3642,10.3642,0.08778,0.5815,1.739,273.564,3
30,49,0.1402,0.0358,0.0061698,0.0302,98658.098,10.4642,10.4642,0.08738,0.587,1.756,278.555,3
30,50,0.1415,0.0381,0.0065685,0.0305,10000.96,10.5642,10.5642,0.08698,0.5925,1.773,283.546,3
30,50,0.1428,0.0404,0.0069672,0.0308,1078895.987,10.6642,10.6642,0.08658,0.598,1.79,288.537,3
30,50,0.1441,0.0427,0.0073659,0.0009,99865.098,10.7642,10.7642,0.08618,0.6035,1.807,293.528,3
30,50,0.1454,0.045,0.0077646,0.0101,500.875,10.8642,10.8642,0.08578,0.609,1.824,298.519,3
30,50,0.1467,0.0473,0.0081633,0.0104,0.00078,10.9642,10.9642,0.08538,0.6145,1.841,303.51,1
30,50,0.148,0.0496,0.008562,0.0156,0.00081,11.0642,11.0642,0.08498,0.62,1.858,308.501,1
30,50,0.1493,0.0519,0.0089607,0.0168,0.00084,11.1642,11.1642,0.08458,0.6255,1.875,313.492,1
30,50,0.1506,0.0542,0.0093594,0.0171,0.00087,11.2642,11.2642,0.08418,0.631,1.892,318.483,1
30,50,0.1519,0.0565,0.0097581,0.0174,0.0009,11.3642,11.3642,0.08378,0.6365,1.909,323.474,1
30,50,0.1532,0.0588,0.0101568,0.0177,0.00093,11.4642,11.4642,0.08338,0.642,1.926,328.465,2
30,50,0.1545,0.0611,300.79,6120.9876,0.00096,11.5642,11.5642,0.08298,0.6475,1.943,333.456,3
30,50,0.1558,0.0634,350.7678,6100.79,0.00099,11.6642,11.6642,0.08258,0.653,1.96,338.447,3
30,50,0.1571,0.0657,400.7456,6080.5924,0.00102,11.7642,11.7642,0.08218,0.6585,1.977,343.438,3
30,50,0.1584,0.068,450.7234,6060.3948,0.00105,11.8642,11.8642,0.08178,0.664,1.994,348.429,3
30,50,0.076879,0.0703,500.7012,6040.1972,0.00108,11.9642,11.9642,0.08138,0.6695,2.011,353.42,3
30,51,0.09865,0.0726,550.679,6019.9996,0.00111,12.0642,12.0642,0.08098,0.675,2.028,358.411,3
30,51,0.099999,0.0749,600.6568,5999.802,0.00114,12.1642,12.1642,0.08058,0.6805,2.045,900.56,3
30,51,0.101348,0.0772,650.6346,5979.6044,0.00117,12.2642,12.2642,0.08018,0.686,2.062,967.875,3
30,51,0.102697,0.0795,700.6124,5959.4068,0.0012,12.3642,12.3642,0.07978,0.6915,2.079,1035.19,3
30,51,0.104046,0.0818,750.5902,5939.2092,0.00123,12.4642,12.4642,0.07938,0.697,2.096,1102.505,3
31,51,0.105395,0.0841,800.568,5919.0116,0.00126,12.5642,12.5642,0.07898,0.7025,2.113,1169.82,3
31,51,0.106744,0.0864,850.5458,5898.814,0.00129,12.6642,12.6642,0.0590304,0.708,2.13,1237.135,3
31,51,0.108093,0.0887,1000,5878.6164,0.00132,12.7642,12.7642,0.0653142,0.7135,2.147,1304.45,3
31,51,0.109442,0.091,0.00879,5858.4188,0.00135,12.8642,12.8642,0.071598,0.719,2.164,1371.765,3
31,51,0.110791,0.0933,0.00933,5838.2212,0.00138,12.9642,12.9642,0.0778818,0.7245,2.181,1439.08,3
31,51,0.11214,0.0956,0.057868,5818.0236,0.00141,13.0642,13.0642,0.0841656,0.73,2.198,1506.395,3
31,51,0.113489,0.0979,0.087786,5797.826,0.00144,13.1642,13.1642,0.0904494,0.7355,2.215,1573.71,3
31,51,0.114838,0.1002,0.117704,5777.6284,0.00147,13.2642,13.2642,0.0967332,0.741,2.232,1641.025,3
31,51,0.116187,0.1025,0.147622,5757.4308,0.0015,13.3642,13.3642,0.103017,0.7465,2.249,1708.34,3
31,51,0.117536,0.1048,0.17754,5737.2332,0.00153,13.4642,13.4642,0.1093008,0.752,13.67,1775.655,3
31,51,0.118885,0.1071,0.207458,5717.0356,0.00156,13.5642,13.5642,0.1155846,0.7575,14.78,1842.97,3
31,51,0.120234,0.1094,0.237376,5696.838,0.00159,13.6642,13.6642,0.1218684,0.763,15.89,1910.285,3
31,51,0.121583,0.1117,0.267294,5676.6404,0.061195,13.7642,13.7642,0.1281522,0.7685,17,1977.6,3
31,51,0.122932,0.114,0.297212,5656.4428,0.062078,13.8642,13.8642,0.134436,0.774,18.11,2044.915,3
31,51,0.124281,0.1163,0.32713,5636.2452,0.062961,13.9642,13.9642,0.1407198,0.7795,19.22,2112.23,3
31,52,0.12563,0.1186,0.357048,5616.0476,0.063844,14.0642,14.0642,0.1470036,0.785,20.33,2179.545,3
31,52,0.126979,0.1209,0.386966,5595.85,0.064727,14.1642,14.1642,0.1532874,0.7905,21.44,2246.86,3
31,52,0.128328,0.1232,0.416884,5575.6524,0.06561,14.2642,14.2642,0.1595712,0.796,22.55,2314.175,3
31,52,0.129677,0.1255,0.446802,5555.4548,0.066493,14.3642,14.3642,0.165855,0.8015,23.66,2381.49,3
31,52,0.131026,0.1278,0.47672,5535.2572,0.067376,14.4642,14.4642,0.1721388,0.807,24.77,2448.805,3
31,52,0.132375,0.1301,0.506638,5515.0596,0.068259,14.5642,14.5642,0.1784226,0.8125,25.88,2516.12,3
31,52,0.133724,0.1324,0.536556,5494.862,0.069142,14.6642,14.6642,0.1847064,0.818,2.2807,2583.435,3
31,52,0.135073,0.1347,0.566474,5474.6644,0.070025,14.7642,14.7642,0.1909902,0.8235,2.1009,2650.75,3
31,52,0.136422,0.137,0.596392,5454.4668,0.070908,14.8642,14.8642,0.197274,0.829,1.9211,2718.065,3
31,52,0.137771,0.1393,0.62631,3000.8749,0.071791,14.9642,14.9642,0.2035578,0.8345,1.7413,2785.38,3
31,52,0.13912,0.1416,0.656228,2799.9,0.072674,15.0642,15.0642,0.2098416,0.84,1.5615,2852.695,3
31,52,0.140469,0.1439,0.686146,2598.9251,0.073557,15.1642,15.1642,0.2161254,0.8455,1.3817,2920.01,3
31,52,0.141818,0.1462,0.716064,2397.9502,0.07444,15.2642,15.2642,0.2224092,0.851,1.2019,2987.325,3
31,52,0.143167,0.1485,0.745982,2196.9753,0.075323,15.3642,15.3642,0.228693,0.8565,1.0221,3054.64,3
31,52,0.144516,0.1508,0.7759,1996.0004,0.076206,15.4642,15.4642,0.2349768,0.862,0.8423,3121.955,3
31,52,0.145865,0.1531,0.805818,1795.0255,0.077089,15.5642,15.5642,0.2412606,0.8675,0.6625,3189.27,3
31,52,0.147214,0.1554,0.835736,1594.0506,0.077972,15.6642,15.6642,0.2475444,0.873,0.4827,3256.585,3
31,52,0.148563,0.1577,0.865654,1393.0757,0.078855,15.7642,15.7642,0.2538282,0.8785,0.3029,3323.9,3
31,52,0.149912,0.16,0.895572,1192.1008,1.00045,15.8642,15.8642,0.260112,0.884,0.1231,3391.215,3
31,52,0.151261,0.1623,0.92549,991.1259,1.00868,15.9642,15.9642,0.2663958,0.8895,357.79,3458.53,3
31,53,0.15261,0.1646,0.955408,790.151,1.01691,16.0642,16.0642,0.2726796,10.97,382.78,3525.845,3
32,53,0.153959,0.1669,0.985326,589.1761,1.02514,16.1642,16.1642,0.2789634,11.89,407.77,3593.16,3
32,53,0.155308,0.1692,1.015244,388.2012,1.03337,16.2642,16.2642,0.2852472,12.81,432.76,3660.475,3
32,53,0.200108,0.1715,1.045162,187.2263,1.0416,16.3642,16.3642,0.291531,13.73,457.75,3727.79,3
32,53,0.244908,0.1738,1.07508,10.879,1.04983,16.4642,16.4642,0.2978148,14.65,200.67,3795.105,3
32,53,0.289708,0.1761,1.104998,45.987,1.05806,16.5642,16.5642,0.3040986,15.57,210.7,3862.42,3
32,53,0.334508,0.1784,1.134916,81.095,1.06629,16.6642,16.6642,0.3103824,16.49,220.73,3929.735,3
32,53,0.379308,0.1807,1.164834,116.203,1.07452,16.7642,16.7642,0.3166662,17.41,230.76,3997.05,3
32,53,0.424108,0.183,277741.661,151.311,1.08275,16.8642,16.8642,0.32295,18.33,240.79,4064.365,3
32,53,0.468908,0.1853,250894.112,186.419,9.75678,16.9642,16.9642,0.3292338,19.25,250.82,4131.68,3
32,53,0.513708,0.1876,224046.563,221.527,19.947,17.0642,17.0642,0.3355176,20.17,260.85,4198.995,3
32,53,0.558508,0.1899,197199.014,256.635,30.13722,17.1642,17.1642,0.3418014,21.09,270.88,4266.31,3
32,53,0.603308,0.1922,170351.465,291.743,40.32744,17.2642,17.2642,0.3480852,22.01,280.91,4333.625,3
32,53,0.648108,0.1945,143503.916,326.851,50.51766,17.3642,17.3642,0.354369,22.93,290.94,4400.94,3
32,53,0.692908,0.1968,116656.367,361.959,60.70788,17.4642,17.4642,0.3606528,23.85,300.97,9.2486,3
32,53,0.737708,0.1991,89808.818,397.067,70.8981,17.5642,17.5642,0.3669366,24.77,311,8.978,3
32,53,0.782508,0.2014,62961.269,432.175,81.08832,17.6642,17.6642,0.3732204,25.69,321.03,8.7074,3
32,53,0.827308,0.1577,36113.72,467.283,91.27854,17.7642,17.7642,0.3795042,26.61,331.06,8.4368,3
32,53,0.872108,0.16,9266.171,502.391,101.46876,17.8642,17.8642,0.385788,27.53,341.09,8.1662,3
32,53,0.916908,0.1623,1000.87,537.499,111.65898,17.9642,17.9642,0.3920718,28.45,351.12,7.8956,3
32,53,0.961708,0.1646,2000.789,572.607,121.8492,18.0642,18.0642,0.3983556,29.37,361.15,7.625,3
32,53,1.006508,0.1669,3000.708,607.715,132.03942,18.1642,18.1642,0.4046394,30.29,371.18,7.3544,3
32,53,1.051308,0.1692,4000.627,642.823,142.22964,18.2642,18.2642,0.4109232,31.21,381.21,7.0838,3
32,53,1.096108,0.1715,5000.546,677.931,152.41986,18.3642,18.3642,0.417207,32.13,391.24,6.8132,3
33,53,1.140908,0.1738,6000.465,713.039,162.61008,18.4642,18.4642,0.4234908,33.05,401.27,6.5426,3
33,53,1.185708,0.1761,7000.384,748.147,172.8003,18.5642,18.5642,0.4297746,33.97,411.3,6.272,3
33,53,1.230508,0.1784,8000.303,783.255,182.99052,18.6642,18.6642,0.4360584,34.89,421.33,6.0014,3
33,53,1.275308,0.1807,9000.222,818.363,193.18074,18.7642,18.7642,0.4423422,35.81,431.36,6.431,3
33,53,1.320108,0.183,10000.141,56.6879,203.37096,18.8642,18.8642,0.448626,36.73,441.39,6.531,3
33,53,1.364908,0.1853,11000.06,58.47589,213.56118,18.9642,18.9642,0.4549098,37.65,451.42,6.631,3
33,53,1.409708,0.1876,11999.979,60.26388,223.7514,19.0642,19.0642,0.4611936,38.57,0.056,6.731,3
33,53,1.454508,0.1899,12999.898,62.05187,233.94162,19.1642,19.1642,0.4674774,39.49,0.089,6.831,3
33,53,1.499308,0.1922,13999.817,63.83986,244.13184,19.2642,19.2642,0.4737612,40.41,0.122,6.931,3
33,53,1.544108,0.1945,14999.736,65.62785,254.32206,19.3642,19.3642,0.480045,41.33,0.155,7.031,3
33,54,1.588908,0.1968,15999.655,67.41584,264.51228,19.4642,19.4642,0.4863288,42.25,0.188,7.131,3
33,54,1.633708,0.1991,16999.574,69.20383,274.7025,19.5642,19.5642,0.4926126,43.17,0.221,7.231,3
33,54,1.678508,0.029,17999.493,70.99182,284.89272,19.6642,19.6642,0.4988964,44.09,0.254,7.331,3
33,54,1.723308,0.0298,18999.412,72.77981,295.08294,19.7642,19.7642,0.5051802,45.01,0.287,7.431,3
33,54,1.768108,0.0306,19999.331,74.5678,305.27316,19.8642,19.8642,0.511464,45.93,0.32,7.531,3
33,54,1.812908,0.0314,20999.25,76.35579,315.46338,19.9642,19.9642,0.5177478,46.85,0.353,7.631,3
33,54,1.857708,0.0322,21999.169,78.14378,325.6536,20.0642,20.0642,0.5240316,47.77,0.386,7.731,3
33,54,1.902508,0.033,22999.088,79.93177,335.84382,20.1642,20.1642,0.5303154,48.69,0.419,7.831,3
33,54,1.947308,0.0338,23999.007,81.71976,346.03404,20.2642,20.2642,0.5365992,49.61,0.452,7.931,3
33,54,2.01189,0.0346,24998.926,83.50775,356.22426,20.3642,20.3642,0.542883,50.53,0.485,8.031,3
33,54,2.076472,0.0354,25998.845,85.29574,366.41448,20.4642,20.4642,0.5491668,51.45,0.518,8.131,3
33,54,2.141054,0.0362,26998.764,87.08373,376.6047,20.5642,20.5642,0.5554506,52.37,0.551,8.231,3
33,54,2.205636,0.037,27998.683,88.87172,386.79492,20.6642,20.6642,0.5617344,53.29,0.584,8.331,3
33,54,2.270218,0.0378,28998.602,90.65971,396.98514,20.7642,20.7642,0.5680182,54.21,0.617,8.431,3
33,54,2.3348,0.0386,29998.521,92.4477,407.17536,20.8642,20.8642,0.574302,55.13,0.65,8.531,3
33,54,2.399382,0.0394,30998.44,94.23569,417.36558,20.9642,20.9642,0.5805858,56.05,0.683,8.631,3
33,54,2.463964,0.0402,31998.359,96.02368,427.5558,21.0642,21.0642,0.5868696,56.97,0.716,8.731,3
33,54,2.528546,0.041,32998.278,97.81167,437.74602,21.1642,21.1642,0.5931534,57.89,0.749,8.831,3
33,54,2.593128,0.0418,33998.197,99.59966,447.93624,21.2642,21.2642,0.5994372,58.81,0.782,8.931,3
33,54,2.65771,0.0426,34998.116,101.38765,458.12646,21.3642,21.3642,0.605721,59.73,0.815,9.031,3
33,54,2.722292,0.0434,35998.035,103.17564,468.31668,21.4642,21.4642,0.6120048,60.65,0.848,9.131,3
33,54,2.786874,0.0442,36997.954,104.96363,478.5069,21.5642,21.5642,0.6182886,61.57,0.881,9.231,3
33,54,2.851456,0.045,37997.873,106.75162,488.69712,21.6642,21.6642,0.6245724,62.49,0.914,9.331,3
33,54,2.916038,0.0458,38997.792,108.53961,498.88734,21.7642,21.7642,0.6308562,63.41,0.947,9.431,3
33,54,2.98062,0.0466,39997.711,110.3276,509.07756,21.8642,21.8642,0.63714,64.33,0.98,9.531,3
33,54,3.045202,0.0474,40997.63,112.11559,519.26778,21.9642,21.9642,0.6434238,65.25,1.013,9.631,3
33,54,3.109784,0.0482,41997.549,113.90358,1.51071,22.0642,22.0642,0.6497076,66.17,1.046,9.731,3
33,54,3.174366,0.049,42997.468,115.52,1.51894,22.1642,22.1642,0.6559914,67.09,1.079,9.831,3
33,54,3.238948,0.0498,43997.387,10.8795,1.52717,22.2642,22.2642,0.6622752,68.01,1.112,9.931,3
33,54,3.30353,0.0506,44997.306,10.97863,1.5354,22.3642,22.3642,0.668559,68.93,1.145,10.031,3
33,54,3.368112,0.0514,45997.225,11.07776,1.54363,22.4642,22.4642,0.6748428,69.85,1.178,10.131,3
33,55,3.432694,0.0522,46997.144,11.17689,1.55186,22.5642,22.5642,0.6811266,70.77,1.211,10.231,3
33,55,3.497276,0.053,47997.063,11.27602,1.56009,22.6642,22.6642,0.6874104,71.69,1.244,10.331,3
34,55,3.561858,0.0538,48996.982,11.37515,1.56832,22.7642,22.7642,0.6936942,72.61,1.277,10.431,3
34,55,3.62644,0.0546,49996.901,11.47428,1.57655,22.8642,22.8642,0.699978,73.53,1.31,10.531,3
34,55,3.691022,0.0554,50996.82,11.57341,1.58478,22.9642,22.9642,0.7062618,74.45,1.343,10.631,3
34,55,4.59079,0.0562,51996.739,11.67254,1.59301,23.0642,23.0642,0.7125456,75.37,1.376,10.731,3
34,55,5.490558,0.057,52996.658,11.77167,2.07876,23.1642,23.1642,0.7188294,76.29,1.409,10.831,3
34,55,6.390326,0.0578,53996.577,11.8708,2.1089,23.2642,23.2642,0.7251132,77.21,1.442,10.931,3
34,55,7.290094,0.0586,54996.496,11.96993,2.13904,23.3642,23.3642,0.731397,125.78,1.475,11.031,3
34,55,8.189862,1.98766,55996.415,12.06906,2.16918,23.4642,23.4642,0.7376808,129.79,1.508,11.131,3
34,55,9.08963,3.467882,56996.334,12.16819,2.19932,23.5642,23.5642,0.7439646,133.8,278.875,11.231,3
34,55,9.989398,4.948104,57996.253,12.26732,2.22946,23.6642,23.6642,0.7502484,137.81,280.98,11.331,3
